title,record_url,icpsr_ids,icpsr_dois,icpsr_cues
Leveraging Machine Learning to Detect Data Curation Activities,http://arxiv.org/abs/2105.00030v1,['2020'],[],[]
"A large, curated, open-source stroke neuroimaging dataset to improve lesion segmentation algorithms",ff3353a6e1c645c5bf46513e3436d472,['36684'],['10.3886/ICPSR36684'],[]
